RaceInSeason,Type,Track,Length,Year,AeroKit,AeroScreen,Hybrid
1,S,STP,1.8,2026,0,1,1
2,O,PHX,1.022,2026,0,1,1
3,S,X,2.73,2026,0,1,1
4,R,BAR,2.3,2026,0,1,1
5,S,LB,1.968,2026,0,1,1
6,R,IMSR,2.439,2026,0,1,1
7,O,IMSO,2.5,2026,0,1,1
8,S,DETS,1.645,2026,0,1,1
9,O,WTT,1.25,2026,0,1,1
10,R,RA,4.104,2026,0,1,1
11,R,MIDO,2.258,2026,0,1,1
12,O,NASO,1.33,2026,0,1,1
13,R,POR,1.964,2026,0,1,1
14,S,X,2.19,2026,0,1,1
15,S,X,2,2026,0,1,1
16,O,MIL,1.015,2026,0,1,1
17,O,MIL,1.015,2026,0,1,1
18,R,LAGS,2.238,2026,0,1,1
